komen_ig
"Tolong dong rumahnya Hasto yang kemarin korupsi dapat amnesti sama rumah ketumnya dibobol sekalian, banyak barang mewah hasil pemberian dari para penjilat negeri, sayang bgt itu kalau nggk dibobol... 😢😢"
Tinggal sri mulyani kawanku. Semoga gosong sama orang nya sekalian🔥🔥
Nuansa 98 kenceng banget😮😮. Serem. Gegara salah milih presiden bisa jadi berantakan begini negara.
"Demo sudah berubah, dari suara rakyat jadi aksi perampokan. Jangan biarkan kerusuhan jadi pelindung para perampok yang menghancurkan negeri."
Hidup rakyat 🔥
"STOP TEMAN²... HATI² INI CUMA UMPAN AGAR SITUASI MENJADI DARURAT MILITER DAN PERINTAH UNTUK TEMBAK DI TEMPAT BAIK UNTUK PENJARAH ATAU DEMONSTRAN... PROVOKASI SOAL RAS MEREKA GAGAL, SKRG MEREKA BERBELOK KEARAH PENJARAHAN RUMAH² ANGGOTA DPR... STOP INI CUMA UMPAN!!"
Nah kek gini ni kan adil sila ke 5 nya ada...... Satu kena ya lainya harus kena juga lah 👏
Itu ko potonya poto uya?
"Astaghfirullah.. 🥺🥺 tapi kalau boleh jujur, ini pelajaran buat kita semua. Harus amanah saat diberikan kepercayaan, jaga tutur kata, & jangan mudah meremehkan segala sesuatu.."
Lanjutkan kawan kawan 🔥🔥🔥🔥
Keren 🔥
"Next uya kuya, puan, luhut, nafa, sri mulyani, yukkk gaas"
bakarrrrr dan hacurkan
Mangka nya klw jadih pejabat itu jangan lupa dengan rakyat
Ini mah rumah uyaa Kuya bukan pak eko
"Biarin saja, kham org kaya"
lindungilah mereka yaallah 😢
Kerennn🔥🔥👏👏
"Pak eko ada tamu tuhh, temui dong, minta maaf secara langsung aja mumpung semua pada ngumpul silahturahmi ke rumah pak eko"
Pasti koleksi sepatu dan tas mahal udah dibawa kabur duluan itu sama Uya.. udh tinggal brg2 murah aja yg nyisa
Uya kuya iki rek ono ftone uya di tembok
"Apapun alasannya tidak pantas menjarah rumah dpr,, kalau gak ngajak gue"
Mantap 😂😂🔥
mantap🔥🔥🔥
Semangat rampas uang rakyat kembali ke rakyat
The real perampasan aset bu
Angkat topi u tuk kalian..panjang umur lerjuangan🔥
Rumah uya juga udah 😂😂
""
walah
Woy
Berlanjut gaess
Yang semangat yahhh😂😂
Jangan main hakim sendiri dong
Gas lanjut kloter ke 3 gaes
"Sehat selalu pendemo.. INGAT, GAJI MEREKA, ADALAH DARI MASYARAKAT"
Masuk Pak Eko 😂
"Halal!!! Yang Haram Cuma Babi!!! Bukti Fakta Nyata Hukum Rimba Kilat Dunia Disaksikan Langsung Perampasan Aset Mereka untuk kembali ke Rakyat Indonesia!!! Silakan Rakyat Indonesia bergilir silahturahmi ke rumah DPR, Kementerian, & Stafsus lainnya supaya milik Rakyat Indonesia menjadi adil, makmur, & sejahtera!!! Mereka hanya takut miskin tapi tidak takut Tuhan!!!  📌🆙😂😂😂😂😂"
Mantap..bawa pulang barang2nya😂😂
Kalian semua nya udah ada di rumah saya & kalian mau cari Uya Kuya sama Eko Patrio
Ini lapangan kerja 19 juta😂
😮😮😮
Woy
Jangan main hakim sendiri dong
Kalian semua nya udah ada di rumah saya & kalian mau cari Uya Kuya sama Eko Patrio
Datang aja ke rumah saya di jawa timur
Siapa lagi nih kalo uya sahroni dan eko  kalo udah beres 😁
Keren😎
Simulasi perampasan aset Koruptor 😬
"Hati"" di hipnotis sama uya kuya 😅"
bergiliran 😂😂😂😂
Gas
Pada kena shadow banned ya?😢
Mantap pak eko
Chaos
Tombol puas.....!!!!
List list list
Lanjutkan
The real perampasan aset
Tuh bu  liat barang temennya mahal2
masuk pak eko 😂😂😂😂
🔥🔥🔥🔥🔥
Mantap 🔥🔥
Ak hirnta😍
Mampus dah next rumah sri mulyani
kasihh paham 😂
Jng lupa rumah kuya
Menyala
😂😂😂
Gas terus 🔥🔥🔥
Waduh
masukkkkkkkkpaakkkekooo😭🔥
Masuk pak ekooo
bagus
"habis selesai dari rumah eko & uya , pada gak mau ngopi & begadang di rumahnya si sri 😂😂😂"
Rumah Ana Surana apakah masih aman ?
🤦‍♂️
😂😂
Ini org2 dlm rmh nya pd.kmn yaa ko sepi😂
Perampasan aset real
HALAL
LANJUT NAFA& SITORUS
Mantap
Duh aing mah dinyaankeun
Ada apa ini?
PERAMPASAN ASET YG SEBENARNYAAAA
Tema hari ini adalah acak-acak rumah anggota dpr
Duhhhh mantabzz ginih
🔥🔥🔥🔥🔥🔥 mampus lu anjing!!!!!!
Kacauu
""
"Amalan apa yg di lakukan beliau, sehingga banyak orang mendatangin rumahx.....gak hbis pikir aku🤔🤔🤔"
"Belum seberapa itu mah, Gaji Tunjangan Cekeran gw Lancar, gw jg Artis...,"
👏👏👏🔥🔥🔥
🔥
🔥
🔥
🔥
🔥
Simulasi perampasan aset.semangat kawan😁
❤️🔥🔥🔥🔥
MANTABBBB
Spill dong kawan
Lanjut iya kuya😂😂😂
Ngeri
Wow😮
Ratakan🔥🔥🔥🔥🔥
Masuk pak ekoooo 😂😂
☕☕☕
Kiloin pagarnya euy 😂
Nek anis kadir puan
😂😂😂😂😂😂
Ini mungkin bagian dari uji coba penerapan undang - undang  perampasan asset oleh rakyat
Udahlah. Ini gak murni lagi menyampaikan aspirasi 😢
Kok foto uya
Ternyata udah minta maaf pun ga ngaruh
Giliran rumahnya anggota yang di demo makan mie di atas sharelok cuy
Foto si kuya itu mh
🔥🔥
Jaman ayeuna mah mun beunghar ulah katingal teuing komo haasil korup. Loba jalmi nu pengangguran ngiring bungah ngajarah mning mun bayar pajak.. ieu mah ngiring anarkis ungkul
Edaaannn
Masok pak Ekooo
Next target simulyono
Emang boleh seopen house ini hahaa
Masuk pak eko😭😭
Alhamdulillah jangan kasih kendor hancurkan!!!
Puan ..bahlil..srimulyani..dedy sitorus gaa siii🔥🔥🙌...🔥🔥
🔥🔥🔥
Tungun aing euy  sesakeun😂😂🤣
NAFA URBACH SEKALIAN 🔥🔥🔥
Mending dibawa ku kpk atau ku rakyat rampas asetna
"Sebenar nya saya pribadi kurang setuju dengan cara seperti ini tp semoga ini menjadi perhatian untuk para elite2 DPR dan pemerintah agar tahu bahwa Rakyat itu bisa berontak jika keadilan dan kesewenang-wenangan akan aturan , hukum , kebijakan terlebih system yg buruk di negeri ini sehingga kekayaan negara di curi habis2 an oleh para koruptor"
jirrr
Perampasan aset sebenarnya 🔥
Setingan kayanya inimah🤣
"massa di rmh eko bgtu tenang, itu temennya ya? 😂😂😂"
RUU perampasan aset disahkan rakyat
Masuk pak eko🔥🔥🔥
""
Mantap
""
"Rumah eko doank apa sama uya ini min masa 1 rumah dua keluarga eko sama uya,yg bener kalau ngasih judul😅"
WOW the Power of Masa 😂😂
👏👏👏
Kok bisa tau alamatnya ya?
🔥🔥🔥🔥
Hari ini aku ulang tahun loh.. Akan ku ingat kejadian hari ini seumur hidup.. 😂
Dari rakyat untuk rakyat
Astagfirullah
Rumah si oneng sekalian 😂
Nu kieu yeuh mulut mu harimau mu
selanjutnya rumah sri mulyani
Eko..uya kuya..gk doyan makan..gk bisa tdur..dan gk nafsu kawin jelas ..itulah..sebab akibat ..silahkan lu nikmati
Kacau kacau....
Ningal foto keluargana mah foto si uya ih..lain eko 😒
Masa sedang simulasi perampasan aset dari RUU perampasan aset koruptor😂
Serangggggggggg🔥🔥🔥🔥🔥
Selamat Menikmati 🔥
Innalillahi😔
""
Ambilah itu uang kalian RAKYAT
"Kenapa yaa baru kali ini puas,"
UU PERAMPASAN ASET UDAH DI LAKUKAN OLEH MASYARAKAT🔥
"Astaghfirulloh, rumah koruptor ajah diginiin 😢"
""
""
😂😂😂😂😂
Baru kali ini denger berita yang bikin seneng😂
🔥🔥
Ya Allah Ngeriiii....😢
Emang mereka gak ada dirumah?
"Jangan lupa . Stop kekerasan! Silahkan jarah bagikan 2,5 % mereka yang sulit ekonomi, sulit makan etc.. jdlah robinhood! Stelah smua anggota DPR RI yg menantang rakyat done, stop. Jangan ada penjarahan di luar angota DPR RI yg mnantang. Stop rasisme! ✊🔥"
Segelintir harta org org pejabat kaya... Bisa membantu kebutuhan rakyat yg di Tindas oleh pemerintah🔥🔥
Menyala kawan kawan🔥🔥🔥🔥
Astaghfirullah
MASOOOK PAK EKO
🔥🔥🔥
Perampasan aset telah disahkan oleh rakyat 😢
Piala bacotnya bergilir nih gess
👏👏👏🔥🔥🔥
Apa Kabar Sri Mulyani? Si Tukang Palak Pajak...
Masuk pak eko 😂
Nah kan
Woi sapu lidi itu buwat ap😂
""
Bawa joget pakekoo
INILAH AKHIR DARI SEBUAH UCAPAN. JNG MERASA SUDAH DIATAS DAN MENJADINOEJABAT TIDAK AKAN TERSENTUH. SEMOGA DNG INI YANG LAIN PEJABAT BISA LBH BERSIKAP LEBIH BIJAKSANA ATAS PERKATAAN DAN PERBUATAN
Simulasi perampasan aset dari rakyat untuk rakyat
Penasaran rumah ibu sri
Bisa serentak gitu aneh juga.
Masuk pak eko
Masoook .....😂😂😂
Masuk pak ekooo
🔥
🔥🔥
🔥🔥🔥🔥🔥🔥🔥
Gassss
Jadi bingung naha kudu karunya atawa mupuas ?
Lanjut kan ketua
Masuk pak ekoooooo😂
🔥
"Tujuan nya ngejarah apa, kesal boleh. Itu udah melanggar hukum mengambil barang orang lain. Apa yang ngejarah , kalu dijarah balik gak marah?"
Pulaang temen temen demi keselamatan.  Presiden sudah memerintahkan kapolri dan tni untuk menindak tegas masa yg anarkis
OpenHouse walopun bukan lebaran masuk aja bebas anggap aja rumah sendiri
😂😂😂
""
looting euy😎
Akibat dari menganggap diri sedang diatas langit...
Duaaarrrr
Masok pak ekoo😂😂😂
Perampasan yang sesungguhnya
Tidak merusak fasilitas publik
AMBIL UANG AMBIL TV NYA 🔥
kapan rumah bu sri?
Kok rumahnya di bakar ga joget joget ya mereka skrg 😂😂😂
Kalo dia mau mundur dari DPR kayanya masih bisa selamat
Pak eko... Jaga lisanmu itu balasan
Revolusi Prancis ieumah
Ayeyyy yuk 😂
Boleh gak sih di jogetin 😂😂 bertanya dengan nada dering
🔥🔥🔥🔥🔥🔥🔥
Masuk pak ekoo 🔥
Alhamdulillah 🙌🔥❤️
masuk pak eko
UU PERAMPASAN ASET DI SAHKAN MASYARAKAT INDONESIA 🔥🔥🔥
Terwakilkan
Maling kalau kaya gitu
NEXT NUSRON WAHID 🔥🔥
Sri mulyani guys jangan lupa
Habiskaaaannn sampai dia miskin kembiiii semangattt kawaannn🔥🔥🔥
Next Sri Mulyono 😂
"Jarah terus jangan sampai Ada Sisa,,Hancurin...!!!!!"
🔥🔥🔥🔥🔥🔥🔥🔥🔥
request rumah bahlil
Mau gmna Klo udah Kaya Gini ??  😢
Lagi simulasi
🔥🔥🔥
🔥
Good job PEOPLE 🔥😡❤️😂👏👏🔥🔥
Masokkk pak eko 🔥
Pasti koleksi sepatu dan tas mahal udah dibawa kabur duluan itu sama Uya.. udh tinggal brg2 murah aja yg nyisa
kuya
"Jangan Percaya, ini cuman settingan. Gak mungkin banget ngejarah rumah pejabat bisa sesantai itu"
Lanjutkan 🔥
Gass
🔥🔥🔥🔥🔥🔥
🔥🔥🔥🔥🔥mantap
🔥🔥🔥🔥beginilah klo rakyat tidak d buat sejahtera oleh pemimpinnya....ngamukkkk...kami butuh sejahtera pakkk pejabat...kami juga butuh makan n jalan2  pak ...
Menyala Indonesia ku 🔥
Akhirnyaa
🔥🔥
🔥🔥🔥🔥🔥
Kalopun di perumahan itu ada security pasti auto mental sih ngadepin segitu byk massa...seremm dahh
Yalloh😢
Klu gini boleh lah datangi rumah mereka satu2 dari pada main bakar2an
The real kata kata “ MASUK PAK EKO”
walah
Hajar dan kalau ini boleh dijarahkan.
walah
SEMUA AKIBAT KESOMBONGANNYA SENDIRI .. ALLAH DENGAN MAHA SEGALANYA MEMBOLAK BALIKAN SEGALANYA 😇
Next: Rumah koruptor
Hati hati bang malam ini gabisa live soalnya
Tah Tah tahh ningg
Rumah sri mulyani jugaaa woiii
Bakarr sri mulyani
Kena hipnotis uya kuya 😂
🔥🔥🔥🔥🔥🔥🔥🔥
Simulasi RUU Perampasan Aset Koruptor
Masuk pa eko 😂😂
Hakkan 😂😂😂
Masukkk pakkk ekooo😂😂
"Ngeriiii, jika sudah semarah dan sekecewa ini rakyat, masihkah kalian mempertahankan status kalian DPR .. jika kau Puan, tdk segera bertindak .. maka kau lah yg paling berdosa .. dunia akherat, gw sumpahin .. seanak turunmu, kau menodai amanah rakyat"
👏👏👏
Opsi baru buat yang korupsi nih
Mulutmu HARIMAUMU KOOO EKOOO😂😂😂 dulu KAU comblangin SUAMI org ama JANDA DEPOK .. 😂😂😂 kena krma juga kan
Uang kalian ini
Perampasan aset yang sebenar nya👏🔥keren😂
🔥
Masuk pa ekoo
Aku sih yes.. 👏
Mantappp  ahirnyaaa
"Inikah yg d sebut slogan ""masuk pak eko"""
Puan Maharani jangan lupa
semangat
"Kayanya mending gini dah,dimana ada pejabat negara yg korupsi ataupun merendahkan rakyat lngsung digeruduk kaya gini, perampasan aset secara langsung sama rakyat 😂"
masukk pa ekoo
The real masuk pak eko
Semangat kawan kawan 👏🔥
Bukannya dia diem di apart yaaaa
Ya allah sereem bgt
Lebok sia eko..🤣
MENYALA UYAAA 🔥
Bawa sound horeg kemarin nantangin
joged bang
Nitip euy
😂parah abiss😂
"amalan apa yang beliau lakukan semasa hidup, sampai banyak org yg datang"
Mantapp🔥
Fokus yg bwa keranjang 🤭
REFORMASI🔥
"keren saudaraku kalian semua luar biasa,kasih tau siapa rajanya rakyat atau wakil rakyat  perjuangan🔥"
""
semangat teman teman..🔥🔥🔥🔥
Uya kuya ini
🔥
Rumah Sri Mulyani kapan?
🔥🔥🔥
Sudah saatnya rakyat harus bersatu dan berani melawan para pejabat dan antek antek nya yang menyakiti hati rakyat
gasss in jangan kendor
🔥🔥👏👏
next house😂
Astagfirullah
mirip rumah si Kuya?
Gk da mrka ke luar negri
Next Sri Mulyani 🔥🔥🔥
Keren🔥🔥
Menyala 🔥🔥🔥🔥🔥
SERU EUY
para artis ketawa dibalik hp mereka masing masing melihat sahabatnya rumahnya di ancurin
masuk pak eko
Silahturahmi 😂
Siapa menanam dia menuai bosss
"amalan apa yang beliau lakukan semasa hidup, sampai banyak org yg datang 🔥"
Jual lagi lumayan tu. Buat makan sekeluarga
Masook pak ekooo
🔥🔥🔥🔥🔥🔥
🔥🔥rumah puan
Rumah si Kuya uya x yah ..ko foto nya keluarga dia ith..
""
Yang fasilitas  umum utk  rakyat  jangan di hancurkan  ya guys
Gas terusss🔥🔥🔥
Yg dijarah gk mau pulang dr holiday gtuu???🤔
"Something is off here, too well documented and silent. It might be a trap!"
Salah siapa joged2...sdh tahu rakyat susahnya minta ampun cari rupiah....😂
Sekalian si sri mul
Waduh
"Inilah klo para penegak hukum sudah tidak berfungsi sebagai mana amanah yg diberikan kepadanya,alhasil kekuatan rakyat lah yg akan berperan,hukum alam berlaku bagi siapapun"
Bedah rumah telah tiba
Duhh gusti beneran di datangan satu2 🔥🔥
"Akibat congor,rusak Kabeh sa imahna🤦🏻"
Mantapp
kapok dah selebriti yg pada ikut jdi anggota dewan😂
Rumah uya kuya kyanya ini mah ya?
Itu tindakan salah tetapi kenapa ya saya malah merasa puas melihatnya!
Kalau bisa seluruh anggota dewan jangan masyarakat yang di jarah 👏👏
"RUU perampasan aset ga di setujui,,rakyat sendiri yg ambil aset nya"
Kagentian lah ku sabulan ge kalem
Jangan lupa Mampir ke Akun Saya Guys
Pake si aja jangan pake pak lah... 😂😂😂
Masih bisa joget ga kalian??? Udh muak tpi ngeledek n nantangin terus..
❤️❤️❤️❤️
Prank ah.. 😂😂😂
Bakar
Mana rumah pak eko? Itu rumah uya aja
Dengan begini...peringatan buat para pejabat...jgn seensknya terhadap rakyat...
"Yang satu ke Singapura,satu lagi ke cina, pasti yang satunya ke USA"
undang-undang perampasan aset pejabat
"Mantap kawan, tinggal punya si Sri"
👏👏👏
"Jangan lupaa rumah si ""ratu pajak"" dan mr. Bahlul"
"untuk para penguasa, untuk orang orang kayaa  udah ya jangan sombong lagi, udah yaa jgn arogan lagi 😢😢 ,,,, Ya Allah lindungi kami maafkan kami 🙏🥺"
"Modar sia, cilaka ku tungkah laku sorangan, semangat🔥"
Menyaka🔥..jadi tabola balek dehhh...😂
Alhamdulillaah  agar para dpr tidak se enak nya
Alhamdulillah
"mi nanya , para bodyguardnya kemana ga jaga rumah 🔥🔥🔥"
"Klo dpr gak bisa mengesahkan RUU perampasan Aset,,, biar rakyat yg Acc 👏"
MUNDUR LEBIH MULIA
🔥🔥🔥🔥🔥
🔥🔥🔥🔥
Mantap rakyat demo kalian tepat sasaran😂
Itu yg ngambil duit segepok di rumah si Sahroni coba wa gua😂
harusnya gini dari awal😭
😍❤️🔥
Efek mulut bertai hilang gaji setahun 👏👏🔥
"Di saat sperti ini, gada polisi yg jagain🤣😂😂😂"
entah rakyat yang mencontoh pejabata atau memang pejabat adalah cerminan rakyatnya😢
Kasian  beliau baru menjabat ada video joged2 jadi masa marah 😢
Yg ibu ibu joged paling depan itu namanya siapa ?
Mulut mu harimau mu
Alhamdulillah merasa senang skali.
Si Roni udh curhat di X marah marah rumahnya di jarah😂
Amalan apa yg mas eko perbuat hingga banyak tamu yg datangbke rumah nya masya Allah🙌
Seperti revolusi Perancis
Masuk pak Eko 😂
Next rumah Mentri bahlil
Gasss
"Dengan inih apakah masih bisa joged"" nantangin rakyat dia 😂😂😂"
Sebenernya kasihan juga tapi gimana mrk ga bisa jaga mulut & bawa diri
👏👏
Sri Mulyani blm
Mantap.. next Nafa kurban selanjutnya
Astaghfirullahaladzim
Nah gini mending langsung kerumahnya
Telah dilaksanakan UU pemiskinan dan penyitaan aset koruptor oleh rakyat yg sdg terluka telah dilaksanakan dg baik...good job
Alhamdulillah🥰😘
Tabur tuai 😢
Untuk pelajaran siapapun .. kalo rakyat sdh bergerak sulit dibendung
Makanya jangan bikin rakyat marah!!!
Open house🔥🔥🔥
Nu tiung bereum joget na maceuh acaan
"Kalau seperti ini siapa yang harus di salahkan.Bisa"" ternak Mulyono nunggu giliran..tuch..Watch gawat.nich"
Masookk pak eko 👏
🔥🔥🔥
Buset dah😂
Rumah eko tapi ada foto iya kita
The real prampasan aset 😂😂
Perampasan aset di mulai alla rakyat
"Dari Rakyat, Oleh Rakyat, Untuk Rakyat.🔥"
Ketuanya engga
"berhubung UU perampasan asset gak kunjung diralisasikan, biar rankyat sendiri yg bergerak merealisasikan. 😂"
Mantap
"Mantap.. Lebih baik dan bagus gini sih datang langsung ke rumah yg bersangkutan, daripada merusak fasilitas umum, kalau fasilitas umum rusak kita juga yg susah."
Perampasan aset
Hidup lah Indonesia Raya.. 🇮🇩🇮🇩🇮🇩
Rakyat mulai murka
selamat !!
Sah UUD perampasan aset
Yaa allah ...
Mantaaap pak ekoooo😂😂
Ini the real UU perampasan aset
Sekuriti kabur kah??
🔥🔥🔥
Rmh eko mna itu rmh uya kaya apa emh eko
Rmh uyq kuyq utu sih
Wanjir wkwkwkw
🔥🔥🔥
The real perampasan asset
Mantaaaap
Gass terussss semua dpr rumahnya datengin
Mantep pisan 🔥🔥🔥🔥
Rumah sri mulyani coba
Bawa aja semuanya kan itu wakilmu 😂😂😂😂
👏💪💪💪💪💪👍🔥🔥
🔥🔥🔥
Mantap lanjutkan🔥🔥🔥
Bagus  akibat kesombongan
Makannya dipikir sebelum betindak pa eko rusuh kan .
Mantap
Waduh...
🔥🔥🔥🔥🔥
Menyalaaa 🙌🔥
🔥🔥
Otok otok otokOtok otok otok
Rampas aset negara oleh rakyat
BUBARKAN DPR
"Agak berlebihan sih,tapi ya harus begini biar ada efek jera buat yg lain..biar ga pura2 budeg..biar ga macem2 lagi sama rakyat,ini baru namanya perampas aset"
Jangan di bakar jangan di ratakan.. berantakin aja dah cukup kena mental
Nah ini Bali menyala ...GK p toh rumah mereka hasil dari uang unag kita juga semangat pejuang ketegakan keadilan semoga Allah selalu bersamamu ... semangat Indonesia maju
UUD perampasan aset kah jnky
Masuk pa eko😂
👏👏👏👏
"Menyala rakyat indonesia, tunjukan kekuatan kalian, THE POWER OF PEOPLE"
"Rumah sri mulyani dn puan maharani pasti lbih mantapp.. Jgn cuma rmh eko,iya..eluruh rmh anggota DPR smua jga.. Biar adil..."
"🔥🔥🔥🔥🔥,"
hukum tabur tuai sedang berlangsung pa eko🔥
The reels perampasan aset 🔥🔥🔥 stuju saja dan jngan salah sasaran
Mantap
"Hakan siah, rasakeun tah, rakyat ditantang ath da"
Nikmat mana yg kalu dusta..
👏👏👏👏👏
🔥🔥🔥🔥🔥🔥
"Ini sudah kbablasn sih,istighfar"
